,,,,,,,
Theme: Economy & Prices,,,,,,,
Subject: National Accounts,,,,,,,
"Topic: Supply, Use and Input-Output Tables (SUT and IOT)",,,,,,,
"Table Title: Output Of Industry By Final Demand, 2019 (Supply, Use and Input-Output Tables)",,,,,,,
,,,,,,,
Data last updated: 21/03/2023,,,,,,,
Source: SINGAPORE DEPARTMENT OF STATISTICS,,,,,,,
,,,,,,,
,,,,,,Million Dollars,
"Travel agency, tour operator and reservation services",395.2679,29.249,49.0016,-0.1436,470.717,944.0919,
Security and investigation services,469.7901,477.4015,290.4053,-0.4781,1276.4202,2513.539,
Cleaning and landscape maintenance services,873.9286,607.4061,280.8976,1.6155,1109.4737,2873.3215,
Office administrative and support services,241.6425,330.4868,92.7555,-3.1943,1373.1729,2034.8634,
"Exhibitions, conventions and other events",306.4394,112.6511,144.487,-0.5432,1384.7412,1947.7755,
Public administration and defence,1667.2097,32174.6691,882.2945,0.4869,2635.6388,37360.299,
Education,5605.3227,9688.007,1421.0899,-1.0069,2990.8707,19704.2835,
Health services,9391.9868,7018.3689,275.6903,-0.1189,2859.0627,19544.9898,
Social services,1778.2452,1609.2079,35.6745,-0.0756,128.9031,3551.9549,
Arts and entertainment,331.773,636.0802,45.8756,-0.1505,603.7722,1617.3504,
Recreation and sports,2052.209,544.746,110.9395,-0.301,5652.3836,8359.977,
Member organisations,1218.4061,123.701,70.0518,-0.3957,353.4903,1765.2535,
"Repair of computers, personal and household goods and vehicles",521.7111,215.3108,95.9965,-0.8637,802.3157,1634.4704,
Other personal services,2278.9448,84.536,22.8763,-0.1172,721.2184,3107.4584,
Domestic services,3102.3295,0,0,0,0,3102.3295,
Total output,171630.333,83080.6368,121995.8907,1820.0119,956998.5989,1335525.4713,
,,,,,,,
,,,,,,,
Definitions and Footnotes,,,,,,,
Gross Fixed Capital Formation:,,,,,,,
"Acquisitions, less disposals, of fixed assets during the accounting period plus improvements to land.",,,,,,,
Inventories:,,,,,,,
"The amount of materials and supplies, work-in-progress, finished goods and goods for resale.",,,,,,,
Output:,,,,,,,
Output refers to the value of goods and services produced in the economy. ,,,,,,,
,,,,,,,
Notation:,,,,,,,
na   not available or not applicable,,,,,,,
nec  not elsewhere classified,,,,,,,
nes  not elsewhere specified,,,,,,,
 -     nil or negligible or not significant,,,,,,,
Notes,,,,,,,
Numbers may not add up to the totals due to rounding.,,,,,,,
"Data are the latest available at the time of access or download. Some statistics, particularly those for the most recent time periods, are provisional and may be subject to revision at a later date.",,,,,,,
Values are shown in Singapore dollars (unless otherwise specified).,,,,,,,
,,,,,,,
Generated by: SingStat Table Builder,,,,,,,
Date generated: 12/10/2025,,,,,,,
Contact: info@singstat.gov.sg,,,,,,,
